ID,SampleID,SampleType,Specimen type,Type,Read count,Corynebacterium,Kocuria,Micrococcus,Friedmanniella,Cutibacterium,Deinococcus,Staphylococcus,Streptococcus,Finegoldia,Paracoccus,Acinetobacter,Moraxella,Pseudomonas,Aureobasidium,Parastagonospora,Aspergillus,Botrytis,Hebeloma,Serpula,Postia,Grifola,Fomitiporia,Escherichia,Klebsiella,Coprinopsis,Ganoderma,Wolfiporia,Pestalotiopsis,Prevotella,Veillonella,Malassezia,Methylibium,Stereum,Heterobasidion,Trametes,Trichoderma,Schizophyllum,Dichomitus,Others
1,HMSP1898,Blank,Sequencing Blank,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HMSP1894,Blank,Sequencing Blank,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HMSP1529,Blank,Sequencing Blank,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,HMSP1539,Blank,Sequencing Blank,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HMSP1519,Blank,Sequencing Blank,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,HMSP1190,Blank,Sequencing Blank,Blank,695,20.57553957,0,0,0,0,0,0,20.86330935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.35971223,0,0,0,0,0,0,0,0,0,48.20143885
7,HSCA1,Blank Filter,Filter Blank,Blank Filter,6792,0,0,0,0,0,0,0,0,0,0,0,0,14.14899882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.51707892,14.8262662,0,14.11955241,13.54534747,0,0,28.84275618
8,HSCA20,Blank Filter,Filter Blank,Blank Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,HSCA24,Blank Filter,Filter Blank,Blank Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,HSCA25,Blank Filter,Filter Blank,Blank Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,HSCA28,Blank Filter,Filter Blank,Blank Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HSCA32,Blank Filter,Filter Blank,Blank Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,HSCA33,Blank Filter,Filter Blank,Blank Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,HSCA39,Blank Filter,Filter Blank,Blank Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
