SampleID,SampleType,Study,grp,Aspergillus fumigatus,Aspergillus terreus,Aspergillus mulundensis,Aspergillus novofumigatus,Aspergillus glaucus,Aspergillus niger,Aspergillus steynii,Aspergillus pseudoglaucus,Aspergillus clavatus,Aspergillus heteromorphus,Aspergillus nidulans,Aspergillus awamori,Aspergillus welwitschiae,Aspergillus aculeatinus
HMSP1117,Indoor air,Singapore,SIHC,18,0,0,0,30,0,32,0,0,0,28,0,0,0
HMSP1118,Outdoor air,Singapore,,20,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1171,Indoor air,Singapore,SIHC,31,0,0,0,221,0,105,0,0,0,29,0,0,0
HMSP1172,Outdoor air,Singapore,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1173,Surface,Singapore,SSHC,13,0,0,0,78,13,45,17,23,15,26,4,2,7
HMSP1181,Indoor air,Singapore,SIHC,13,0,0,0,9,0,9,0,0,0,14,0,0,0
HMSP1182,Outdoor air,Singapore,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1196,Indoor air,Singapore,SIHC,9,0,0,0,20,0,25,0,0,0,8,0,0,0
HMSP1197,Outdoor air,Singapore,,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1198,Surface,Singapore,SSHC,15,0,0,0,273,20,97,25,59,35,36,3,1,2
HMSP1201,Indoor air,Singapore,SIHC,8,0,0,0,19,0,14,0,0,0,8,0,0,0
HMSP1202,Outdoor air,Singapore,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1203,Surface,Singapore,SSHC,19,0,0,0,19,20,15,5,5,13,10,9,10,13
HMSP1211,Indoor air,Singapore,SIHC,3,0,0,0,4,0,0,0,0,0,1,0,0,0
HMSP1212,Outdoor air,Singapore,,25,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1213,Surface,Singapore,SSHC,32,0,0,0,327,29,141,62,75,53,41,6,9,3
HMSP1216,Indoor air,Singapore,SIHC,5,0,0,0,39,0,27,0,0,0,13,0,0,0
HMSP1217,Outdoor air,Singapore,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1226,Indoor air,Singapore,SIHC,20,0,0,0,207,0,105,0,0,0,34,0,0,0
HMSP1227,Outdoor air,Singapore,,17,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1228,Surface,Singapore,SSHC,10,0,0,0,56,12,33,14,20,19,10,2,2,4
HMSP1276,Indoor air,Singapore,SIHC,2,0,0,0,0,0,9,0,0,0,5,0,0,0
HMSP1277,Outdoor air,Singapore,,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1278,Surface,Singapore,SSHC,26,0,0,0,11,7,97,2,13,24,26,2,4,5
HMSP1346,Indoor air,Singapore,SIHC,6,0,0,0,37,0,23,0,0,0,9,0,0,0
HMSP1347,Outdoor air,Singapore,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1348,Surface,Singapore,SSHC,19,0,0,0,75,5,81,12,23,43,30,1,1,7
HMSP1368,Indoor air,Singapore,SIHC,18,0,0,0,17,0,54,0,0,0,20,0,0,0
HMSP1369,Outdoor air,Singapore,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1370,Surface,Singapore,SSHC,17,0,0,0,11,35,16,4,10,19,19,10,11,9
HMSP1373,Indoor air,Singapore,SIHC,15,0,0,0,4,0,10,0,0,0,14,0,0,0
HMSP1374,Outdoor air,Singapore,,16,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1375,Surface,Singapore,SSHC,0,0,0,0,11,1,5,1,1,1,0,0,0,0
HMSP1382,Indoor air,Singapore,SIHC,0,0,0,0,7,0,12,0,0,0,4,0,0,0
HMSP1383,Outdoor air,Singapore,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1384,Surface,Singapore,SSHC,6,0,0,0,3,2,19,0,2,9,5,2,2,2
HMSP1424,Indoor air,Singapore,SIHC,29,0,0,0,19,0,11,0,0,0,10,0,0,0
HMSP1425,Outdoor air,Singapore,,31,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1436,Indoor air,Singapore,SIHC,59,0,0,0,40,0,38,0,0,0,22,0,0,0
HMSP1437,Outdoor air,Singapore,,63,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1438,Surface,Singapore,SSHC,46,0,0,0,64,1954,27,19,13,30,15,183,193,11
HMSP1441,Indoor air,Singapore,SIHC,24,0,0,0,7,0,37,0,0,0,20,0,0,0
HMSP1442,Outdoor air,Singapore,,23,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1443,Surface,Singapore,SSHC,227,0,0,0,3141,81,1071,959,670,389,384,38,11,28
HMSP1501,Indoor air,Singapore,SIHC,7,0,0,0,34,0,12,0,0,0,5,0,0,0
HMSP1502,Outdoor air,Singapore,,11,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1503,Surface,Singapore,SSHC,18,0,0,0,42,5,47,12,16,26,14,3,2,7
HMSP1506,Indoor air,Singapore,SIHC,78,0,0,0,43,0,58,0,0,0,33,0,0,0
HMSP1507,Outdoor air,Singapore,,87,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1508,Surface,Singapore,SSHC,17,0,0,0,5,16,9,4,5,6,4,2,6,13
HMSP1511,Indoor air,Singapore,SIHC,14,0,0,0,27,0,56,0,0,0,21,0,0,0
HMSP1512,Outdoor air,Singapore,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1513,Surface,Singapore,SSHC,16,0,0,0,37,25,30,8,11,19,18,8,1,4
HMSP1520,Indoor air,Singapore,SIHC,11,0,0,0,4,0,13,0,0,0,4,0,0,0
HMSP1521,Outdoor air,Singapore,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1522,Surface,Singapore,SSHC,61,0,0,0,65,13,216,31,114,128,93,8,3,11
HMSP1540,Indoor air,Singapore,SIHC,13,0,0,0,37,0,25,0,0,0,10,0,0,0
HMSP1541,Outdoor air,Singapore,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1542,Surface,Singapore,SSHC,25,0,0,0,148,11,68,25,45,28,27,4,1,6
HMSP1545,Indoor air,Singapore,SIHC,4,0,0,0,38,0,18,0,0,0,11,0,0,0
HMSP1546,Outdoor air,Singapore,,10,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1547,Surface,Singapore,SSHC,15,0,0,0,24,1096,38,12,16,27,10,149,134,1
HMSP1551,Indoor air,Singapore,SIHC,32,0,0,0,209,0,104,0,0,0,37,0,0,0
HMSP1552,Outdoor air,Singapore,,18,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1553,Surface,Singapore,SSHC,56,0,0,0,615,23,463,126,158,100,203,6,8,6
HMSP1593,Indoor air,Singapore,SIHC,12,0,0,0,15,0,29,0,0,0,10,0,0,0
HMSP1594,Outdoor air,Singapore,,5,0,0,0,0,0,0,0,0,0,0,0,0,0
HMSP1595,Surface,Singapore,SSHC,18,0,0,0,35,176,33,5,31,35,9,79,70,124
HMSP1598,Indoor air,Singapore,SIHC,18,0,0,0,56,0,30,0,0,0,19,0,0,0
HMSP1599,Outdoor air,Singapore,,7,0,0,0,0,0,0,0,0,0,0,0,0,0
