SampleID,SampleType,Home.Sampling.Type,N_raw,N_trimmed,Percent_trimmed,N_nonhuman,Percent_nonhuman,total_read,fungi_read,bacteria_read
HMSP1117,Indoor,Air-Indoor,3837749,3754732,97.84,3663966,97.58,11217,10486,731
HMSP1118,Outdoor,Air-Outdoor,4018194,3985183,99.18,3890191,97.62,11584,11188,396
HMSP1171,Indoor,Air-Indoor,3001921,2981358,99.32,2927477,98.19,8835,7960,875
HMSP1172,Outdoor,Air-Outdoor,3181268,3109749,97.75,3093986,99.49,7342,7028,314
HMSP1173,SwabS,Surface Swab - Fan,3297057,3279552,99.47,2812807,85.77,8398,2212,6186
HMSP1181,Indoor,Air-Indoor,3016363,2992181,99.2,2969668,99.25,6161,6016,145
HMSP1182,Outdoor,Air-Outdoor,2765635,2744368,99.23,2731398,99.53,6025,5924,101
HMSP1196,Indoor,Air-Indoor,2719555,2697028,99.17,2679569,99.35,7622,7410,212
HMSP1197,Outdoor,Air-Outdoor,2381927,2362838,99.2,2358120,99.8,7797,7742,55
HMSP1198,SwabS,Surface Swab - Fan,2731348,2666501,97.63,1740988,65.29,29038,1794,27244
HMSP1201,Indoor,Air-Indoor,3052309,3029676,99.26,2945059,97.21,6296,5919,377
HMSP1202,Outdoor,Air-Outdoor,3489553,3465360,99.31,3376280,97.43,6233,5847,386
HMSP1203,SwabS,Surface Swab - Fan,2713463,2701876,99.57,1919708,71.05,7950,4036,3914
HMSP1211,Indoor,Air-Indoor,2055285,1572250,76.5,892449,56.76,21732,703,21029
HMSP1212,Outdoor,Air-Outdoor,2475219,2357297,95.24,2330325,98.86,6147,5940,207
HMSP1213,SwabS,Surface Swab - Fan,2250637,2234784,99.3,1896949,84.88,11332,5898,5434
HMSP1216,Indoor,Air-Indoor,2801108,2780897,99.28,2732374,98.26,5314,5155,159
HMSP1217,Outdoor,Air-Outdoor,2243781,1605786,71.57,1541796,96.02,5505,5287,218
HMSP1226,Indoor,Air-Indoor,2902562,2868284,98.82,2594763,90.46,12287,7452,4835
HMSP1227,Outdoor,Air-Outdoor,2766555,2726794,98.56,2664584,97.72,8838,7288,1550
HMSP1228,SwabS,Surface Swab - Fan,3191556,3167466,99.25,2832503,89.42,7029,2076,4953
HMSP1276,Indoor,Air-Indoor,2444026,2402261,98.29,2398527,99.84,6392,6327,65
HMSP1277,Outdoor,Air-Outdoor,3638378,3564785,97.98,3560091,99.87,7087,7050,37
HMSP1278,SwabS,Surface Swab - Fan,2886952,2768986,95.91,2709724,97.86,4062,2324,1738
HMSP1346,Indoor,Air-Indoor,2779315,2737126,98.48,2690205,98.29,7298,5816,1482
HMSP1347,Outdoor,Air-Outdoor,2462166,2412207,97.97,2409514,99.89,6858,6797,61
HMSP1348,SwabS,Surface Swab - AirCon,2686514,2635917,98.12,2606855,98.9,9127,7468,1659
HMSP1368,Indoor,Air-Indoor,2374577,2341801,98.62,2239756,95.64,8281,6911,1370
HMSP1369,Outdoor,Air-Outdoor,2437373,2399768,98.46,2369300,98.73,7524,7084,440
HMSP1370,SwabS,Surface Swab - Fan,3252604,3210250,98.7,2787003,86.82,8804,4507,4297
HMSP1373,Indoor,Air-Indoor,2346797,2317173,98.74,2306044,99.52,10241,10037,204
HMSP1374,Outdoor,Air-Outdoor,3021135,2987420,98.88,2959438,99.06,10247,10080,167
HMSP1375,SwabS,Surface Swab - Fan,2869381,2849204,99.3,428443,15.04,35514,4800,30714
HMSP1382,Indoor,Air-Indoor,2425407,2390607,98.57,2073873,86.75,61580,1403,60177
HMSP1383,Outdoor,Air-Outdoor,2416198,2392111,99,2308055,96.49,16385,2997,13388
HMSP1384,SwabS,Surface Swab - AirCon,2639391,2611688,98.95,1922714,73.62,54243,994,53249
HMSP1424,Indoor,Air-Indoor,3552711,3530415,99.37,3433811,97.26,9495,6625,2870
HMSP1425,Outdoor,Air-Outdoor,2742565,2705543,98.65,2640230,97.59,7124,6600,524
HMSP1436,Indoor,Air-Indoor,3390347,3357597,99.03,3206050,95.49,9066,6316,2750
HMSP1437,Outdoor,Air-Outdoor,3080840,3048282,98.94,2974043,97.56,9396,7613,1783
HMSP1438,SwabS,Surface Swab - Fan,3040023,3017218,99.25,2698366,89.43,14059,4366,9693
HMSP1441,Indoor,Air-Indoor,2745694,2721766,99.13,2715213,99.76,10731,10064,667
HMSP1442,Outdoor,Air-Outdoor,2817158,2792336,99.12,2774213,99.35,10072,9900,172
