,SampleID,SampleType,Group,Aureobasidium pullulans,Parastagonospora nodorum,Aspergillus fumigatus,Aspergillus glaucus,Aspergillus niger,Aspergillus steynii,Botrytis cinerea,Agaricus bisporus,Schizophyllum commune,Serpula lacrymans,Postia placenta,Grifola frondosa,Trametes versicolor,Heterobasidion irregulare,Stereum hirsutum,Acaromyces ingoldii,Pseudomicrostroma glucosiphilum,Malassezia globosa,Malassezia restricta,Malassezia sympodialis,Wallemia mellicola,Dichomitus squalens,Coprinopsis cinerea,Ganoderma boninense,Lasiodiplodia theobromae,Wolfiporia cocos,Corynespora cassiicola,Penicillium oxalicum,Pestalotiopsis fici,Others
HMSP1117,HMSP1117,Indoor air,Singapore,0,0,0.171870524,0.286450874,0,0.305547599,0,1.193545307,1.995607753,2.272510264,4.621407429,6.578821732,5.881791273,0,0,0,0,0.486966485,3.198701423,0.439224673,0.133677074,61.60603457,4.630955791,5.919984723,0,0,0,0,0,0.276902511
HMSP1118,HMSP1118,Outdoor air,Singapore,0,0,0.17877894,0,0,0,0,1.179941003,1.93081255,1.895056762,4.603557701,5.989094485,5.211406096,0,0,0,0,0.35755788,2.753195674,0,0.286046304,55.72539555,5.104138732,5.256100831,0.17877894,9.350138554,0,0,0,0
HMSP1171,HMSP1171,Indoor air,Singapore,0,0,0.396014308,2.823198774,0,1.341338784,0,1.814001022,43.2038835,2.899846704,3.947368421,6.566172713,3.410832908,0,0,0,0,0.72815534,3.398058252,0.549310169,0.166070516,23.44149208,1.724578436,3.117015841,0,0,0,0,0,0.472662238
HMSP1172,HMSP1172,Outdoor air,Singapore,0,0,0.128113879,0,0,0,0,1.978647687,45.40925267,3.231316726,4.612099644,6.804270463,3.800711744,0,0,0,0,0.227758007,0.740213523,0,0.213523132,23.78647687,1.637010676,3.103202847,0.384341637,3.943060498,0,0,0,0
HMSP1173,HMSP1173,Surfaces,Singapore,0,0,0.606626225,3.63975735,0.606626225,2.099860009,0,0,11.52589827,0,1.399906673,1.773215119,1.353243117,0,0,0.793280448,1.073261783,5.739617359,23.70508633,3.406439571,0,10.21931871,3.07979468,1.913205786,2.706486234,1.166588894,3.686420905,1.306579561,8.446103593,9.752683154
HMSP1181,HMSP1181,Indoor air,Singapore,0,0,0.21713713,0.150325706,0,0.150325706,0,3.390679806,38.29964924,4.209119759,6.731251044,8.234508101,4.526474027,0,0,0,0,0.484382829,0.651411391,0.818439953,0.233839987,20.91197595,6.04643394,4.676799733,0,0,0,0,0,0.267245699
HMSP1182,HMSP1182,Outdoor air,Singapore,0,0,0.118183353,0,0,0,0,3.106533851,37.48100625,4.102650684,5.858517643,8.796218133,4.288367381,0,0,0,0,0.540266757,1.029883505,0,0.371433395,20.66520344,5.453317576,3.596150599,0.422083404,4.170184028,0,0,0,0
HMSP1196,HMSP1196,Indoor air,Singapore,0,0,0.123220153,0.273822563,0,0.342278204,0,2.532858708,50.17798467,3.778751369,6.612814896,8.639101862,4.148411829,0,0,0,0,0.205366922,0.643483023,0.273822563,0.260131435,15.56681271,2.861445783,3.436473165,0,0,0,0,0,0.123220153
HMSP1197,HMSP1197,Outdoor air,Singapore,0,0,0.025833118,0,0,0,0,2.299147507,47.77835185,3.810384913,5.877034358,8.034099716,3.926633945,0,0,0,0,0.103332472,0.193748385,0,0.180831826,15.91320072,3.810384913,4.12038233,0.193748385,3.732885559,0,0,0,0
HMSP1198,HMSP1198,Surfaces,Singapore,0,0,0.857632933,15.60891938,1.143510577,5.546026301,0,0,9.491137793,0,1.715265866,2.630074328,1.372212693,0,0,0.285877644,1.143510577,9.14808462,21.49799886,3.430531732,0,4.631217839,5.202973128,2.51572327,0.914808462,0.686106346,1.829616924,0.743281875,1.257861635,8.347627216
